OBJECTID,Site reference,LDP2 reference,Year site added,Site area (ha),Site address,Easting,Northing,Site type,Site status,Owner/Developer,Tenure type,Planning application reference,Last planning approval date,Building warrant reference,Date completed/expired,Greenfield/Brownfield,Self build,Windfall site,Site capacity,BW plots written off,No of houses,No of flats,Plots completed in survey year,Total completions,Units to build,Year 24/25,Year 25/26,Year 26/27,Year 27/28,Year 28/29,Year 29/30,Year 30/31,Year 31/32,Year 32/33,Year 33/34,Later Years,Total Programmed,Shape__Area,Shape__Length
1,200321,H13,04/01/2003 00:00,1.249780008,QUEEN VICTORIA WORKS,339248,730423,Constrained,Constrained,PRIVATE,Private,,,,,Brownfield,No,No,50,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,,0,0,12497.80011,507.8732551
2,200611,,06/05/2007 00:00,1.677644291,"RIVERSIDE DRIVE, FORMER HOMEBASE SITE",339577,729422,Effective,Under Construction,H & H PROPERTIES LTD,Private,05/00770/FUL,06/05/2007 00:00,08/00093/NBUILD,,Brownfield,No,Yes,135,67,0,135,1,85,50,0,0,25,25,0,0,0,0,0,0,0,50,16776.44287,1056.614546
3,200347,,12/17/2013 12:00:00 AM,1.006730855,"MONIFIETH ROAD, ARMITSTEAD",347412,731148,Effective,Under Construction,H & H PROPERTIES LTD,Private,"13/00642/FULL, 16/00179/FULL, 21/00904/FULL",4/15/2022 12:00:00 AM,15/00790/DOM1,,Brownfield,No,No,26,0,3,23,0,0,26,26,0,0,0,0,0,0,0,0,0,0,26,10067.3085,413.9686309
4,201702,,07/01/2016 00:00,0.4595959,"GRAY STREET, 44 ",337271,731747,Effective,Site Complete,DEANSCOURT LTD,Private,16/00362/FULL,07/01/2016 00:00,18/00092/DOM1,06/01/2023 00:00,Brownfield,No,Yes,14,0,14,0,14,14,0,0,0,0,0,0,0,0,0,0,,0,14,4595.959,269.4388433
5,200909,H11,04/01/2009 00:00,1.277837095,"EAST SCHOOL ROAD, FORMER DOWNFIELD PS",338919,733132,Effective,Under Construction,H & H PROPERTIES LTD,Private,20/00076/FULL,11/18/2020 12:00:00 AM,22/00511/DOM1,,Brownfield,No,No,23,0,23,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,23,12778.3709,658.1829106
6,200911,H08,6/24/2019 12:00:00 AM,1.584647505,"ST LEONARD PLACE, FORMER MACALPINE PS",338134,733812,Effective,Under Construction,H & H PROPERTIES LTD,Private,"17/00420/FULL, 21/00406/FULL ",12/15/2021 12:00:00 AM,20/00023/DOM1,,Brownfield,No,No,33,0,33,0,12,32,1,1,0,0,0,0,0,0,0,0,0,0,1,15846.47513,514.5274232
7,201102,,12/21/2010 12:00:00 AM,0.075769505,"DURA STREET, 3",340858,731298,Effective,Planning Consent,WHITTET LTD,Private,"10/00676/FULL, 13/00824/FULL, 17/00014/FULL, 20/00018/FULL, 23/00153/FULL",6/29/2023 12:00:00 AM,,,Brownfield,No,Yes,8,0,0,8,0,0,8,0,0,8,0,0,0,0,0,0,0,0,8,757.6950378,137.9920668
8,201106,,04/01/2011 00:00,0.03526412,SEAGATE/TRADES LANE,340548,730518,Effective,Under Construction,HILLCREST HA,RSL,16/01058/FULL,8/21/2017 12:00:00 AM,17/00689/DOM1,,Brownfield,No,Yes,28,0,0,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,28,352.6411896,77.82774518
9,201205,H02,04/01/2012 00:00,0.564894137,"EARN CRESCENT, LAND AT ",336292,730903,Constrained,Constrained,DUNDEE CITY COUNCIL,Private,,,,,Brownfield,No,No,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,0,5648.941299,320.5066158
10,201221,H20,04/01/2012 00:00,0.63833025,"HEBRIDES DRIVE WEST, MOM-PHASE 4",341048,733472,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,Private,,,,,Brownfield,No,No,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,10,6383.302505,348.8912764
