OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID,Year,TPOAge,FullAddress,Area
1,17/08,Rosemeade,9 Castleroy Road,Broughty Ferry,919062a0-e806-4037-a2fa-f6004d0fe6b1,2008,18,"Rosemeade, 9 Castleroy Road, Broughty Ferry",Broughty Ferry
2,02/12,Moyness Nursing Home,76 Grove Road,Dundee,84e0b68b-3acf-41fb-a5c7-c5b121d3f702,2012,14,"Moyness Nursing Home, 76 Grove Road",Broughty Ferry
3,07/08,Land North Of Foggyley Gardens,Foggyley Gardens,Dundee,9b1228d3-8482-451e-95b2-8eed74b43351,2008,18,"Land North Of Foggyley Gardens, Foggyley Gardens",Lochee
4,04/08,Wimberley Houses,Glamis Drive,"Dundee, Dd2 1Up",47ec5b49-e960-47da-9774-1e3491d3a782,2008,18,"Wimberley Houses, Glamis Drive, Dd2 1Up",West End
5,03/09,Greenwood,3 Castleroy Road,Broughty Ferry,0d7cc36b-d12f-4b4b-ab98-b725b3a30e26,2009,17,"Greenwood, 3 Castleroy Road, Broughty Ferry",Broughty Ferry
6,06/09,North Grange,Arbroath Road,Dundee,b9208f78-e6f4-4679-8333-008347f0e409,2009,17,"North Grange, Arbroath Road",Broughty Ferry
7,08/84,Burnbank,Victoria Road,West Ferry,04c8e9c0-1534-43f2-8dea-f4161a34b178,1984,42,"Burnbank, Victoria Road, West Ferry",Broughty Ferry
8,03/94,Craigiebarns House,Craigiebarn Road,Dundee,038f1faf-71ef-4adb-a8ee-31f889ce7dc3,1994,32,"Craigiebarns House, Craigiebarn Road",Craigiebank
9,05/01,Shiell Court,Broughty Ferry,Dundee,4e91d899-a262-4696-9fdd-fcacda81799c,2001,25,"Shiell Court, Broughty Ferry",Broughty Ferry
10,02/03,Claverhouse,Dundee,Dundee,fb5ba08e-ee00-48f8-9dd2-a30e775da056,2003,23,Claverhouse,Claverhouse
11,02/96,23/25 Laird Street,Dundee,Dundee,22e0977d-44c6-4152-ade9-f74d7d67f29b,1996,30,23/25 Laird Street,St Marys
12,08/04,18 Glamis Road,Dundee,Dundee,8ce37cb3-4e26-4f23-8377-4447576f6f1c,2004,22,18 Glamis Road,Menzieshill
13,10/05,Ground At Pitalpin Hpuse,Pitalpin Street,Dundee,5e4496c6-fcc3-4f9f-9b2d-31a5f564682f,2005,21,"Ground At Pitalpin Hpuse, Pitalpin Street",Lochee
14,01/07,81 Dundee Road,Broughty Ferry,Dundee,18896685-2ac9-4e7d-9389-bc2829e49d93,2007,19,"81 Road, Broughty Ferry",Broughty Ferry
15,01/08,The Friary,8 To 18 Tullideph Road,Dundee,33d3010d-01af-4ad3-8b72-0f6c8553dd40,2008,18,"The Friary, 8 To 18 Tullideph Road",West End
16,03/01,Harris Academy Annex,Logie School,Blackness Road,c63016b7-521a-4623-862d-8913d071dec8,2001,25,"Harris Academy Annex, Logie School, Blackness Road",West End
17,03/04,The Kittiwake,Dalhousie Road,Dundee,b823c6c4-9fbb-4c61-a0be-48c6b71017ee,2004,22,"The Kittiwake, Dalhousie Road",Broughty Ferry
18,11/07,Brook Gardens/Brook Close,Brook Street,Dundee,9afaaff6-fa80-4133-94d8-76b13bc397c0,2007,19,"Brook Gardens/Brook Close, Brook Street",Broughty Ferry
19,12/08,Craig Gowan,42 Camphill Road,Broughty Ferry,4c9d919e-d96c-4d35-9872-dd7434f4d285,2008,18,"Craig Gowan, 42 Camphill Road, Broughty Ferry",Broughty Ferry
20,07/12,42 Strathern Road,Dundee,Dundee,48f23d5a-73d4-4fee-9381-aea79bd1033e,2012,14,42 Strathern Road,Broughty Ferry
21,03/12,St Ronans,Dalkeith Road,Dundee,576d0c37-f472-491b-b547-7c1f65e62161,2012,14,"St Ronans, Dalkeith Road",Craigiebank
22,04/12,363 Perth Road,Dundee,Dundee,42bd49cc-2d69-4b3c-996e-d3f82e44f410,2012,14,363 Perth Road,Ninewells
23,02/02,28 Long Lane,Broughty Ferry,Dundee,6cb4926b-f53b-4917-adf8-ccce1bd5558f,2002,24,"28 Long Lane, Broughty Ferry",Broughty Ferry
24,02/09,Ardroy,53 Camphill Road,Broughty Ferry,eb0facce-4faa-44b1-b9ee-211151b34fb2,2009,17,"Ardroy, 53 Camphill Road, Broughty Ferry",Broughty Ferry
25,04/13,Ross Gardens/Cromarty Drive,Dundee,Dundee,d7be4ef1-b38b-42b3-8bd0-d881393b7e50,2013,13,Ross Gardens/Cromarty Drive,Lochee
26,02/84,95 Dundee Road,West Ferry,Dundee,c3c6c0e6-7a92-413e-8021-b412bae1506b,1984,42,"95 Road, West Ferry",Broughty Ferry
27,05/87,74 / 76 Camphill Road,Broughty Ferry,Dundee,fc404fb8-20af-4e9e-8b2b-954fb56ecdec,1987,39,"74 / 76 Camphill Road, Broughty Ferry",Broughty Ferry
28,06/93,Harestane Place/Pitempton Road,Dundee,Dundee,e73a061b-9805-4cf2-8354-2c4450482248,1993,33,Harestane Place/Pitempton Road,Kirkton
29,04/94,South Of Richmond Terrace,Dundee,Dundee,4a4c03d1-624c-4874-bc57-f943d7f30d5a,1994,32,South Of Richmond Terrace,Dundee Law
30,01/95,Langlea Nursery,Langlea Place,Broughty Ferry,056de7d8-0b6e-4c42-b89d-e53bb23ce0ad,1995,31,"Langlea Nursery, Langlea Place, Broughty Ferry",Broughty Ferry
31,01/00,Redcroft,432 Blackness Road,Dundee,12194f77-34ea-4f28-93ad-7dd56544b888,2000,26,"Redcroft, 432 Blackness Road",Balgay
32,01/94,Stirling House,Netherton Cottage,Craigiebarn Road,71f44a98-1b04-48b4-abaf-fd2ded30f919,1994,32,"Stirling House, Netherton Cottage, Craigiebarn Road",Craigiebank
33,01/02,7 Hill Road,Broughty Ferry,Dundee,43cf91ec-338a-4f4f-8319-19f136bf1030,2002,24,"7 Hill Road, Broughty Ferry",Broughty Ferry
34,01/03,Claverhouse,Dundee,Dundee,f6ff566c-6888-4db6-8740-db0fae963673,2003,23,Claverhouse,Claverhouse
35,03/03,Claverhouse,Dundee,Dundee,5125c60c-92b8-41bb-962d-859c14d60ed3,2003,23,Claverhouse,Claverhouse
36,05/03,Seabourne Gardens,Broughty Ferry,Dundee,a6946162-1d7c-4c94-b566-000c3b665b22,2003,23,"Seabourne Gardens, Broughty Ferry",Broughty Ferry
37,05/04,103 Strathern Road,Broughty Ferry,Dundee,4b068972-892d-40d1-91e7-e8cf0a72e5f5,2004,22,"103 Strathern Road, Broughty Ferry",Broughty Ferry
38,05/83,Balgowan School,Strathmartine Road,Dundee,c4feaf07-a057-438b-a3b2-dc1d41c374dc,1983,43,"Balgowan School, Strathmartine Road",Kirkton
39,05/02,Kings Cross Hospital,Clepington Road,Dundee,72ec4fca-2ba0-430e-ab72-4d81cad8c7fd,2002,24,"Kings Cross Hospital, Clepington Road",The Glens
40,01/05,Also Boundary For Tpo No 04/05,King'S Cross Road,Dundee,e72a7910-3569-4d6d-96b3-cc2b9899dbaa,2005,21,"Also Boundary For Tpo No 04/05, King'S Cross Road",Lochee
41,08/05,Rockwell Solutions,Unit 1,Brunel Road,1ae156a6-7e81-4112-a4c0-d735fbd7eb66,2005,21,"Rockwell Solutions, Unit 1, Brunel Road",Camperdown
42,04/10,35 Albert Road,Broughty Ferry,Dundee,62cf1a2c-d50d-44a5-819e-91fcfa6d1100,2010,16,"35 Albert Road, Broughty Ferry",Broughty Ferry
43,04/83,Annfield House,96 Fort Street,Broughty Ferry,c6a2ae2f-6272-4fec-b0dd-0185f9a06678,1983,43,"Annfield House, 96 Fort Street, Broughty Ferry",Broughty Ferry
44,03/86,Tayfield Works,Seafield Road,Dundee,49d78b3b-e79c-42f2-97c6-eaccd48d3326,1986,40,"Tayfield Works, Seafield Road",Broughty Ferry
45,03/93,5-9 Fairfield Road,West Ferry,Dundee,651eae44-977d-41ce-a705-7ca0642e9e27,1993,33,"5-9 Fairfield Road, West Ferry",Broughty Ferry
46,04/87,Panmure Terrace /,Abercromby Street,Broughty Ferry,969f732d-1a9e-4b95-a08f-c30f974d8b77,1987,39,"Panmure Terrace /, Abercromby Street, Broughty Ferry",Broughty Ferry
